HPNR,Leistungstyp,Heilmittelbereich,Leistungserbringer,Grundlage,Leistungsart,Leistung,gültig ab,gültig bis,Eigentümer
10402,Heilmittel,Physiotherapie,"Masseur, Masseur und med. Bademeister", 125 Abs. 1 SGB V,"Bewegungstherapie / Übungsbehandl., GB",Übungsbehandlung im Bewegungsbad: Gruppenbehandlung mit 2 - 3 Patienten,1900-01-01,9999-12-31,GKV-SV
20402,Heilmittel,Physiotherapie,Krankengymnast/ Physiotherapeut, 125 Abs. 1 SGB V,"Bewegungstherapie / Übungsbehandl., GB",Übungsbehandlung im Bewegungsbad: Gruppenbehandlung mit 2 - 3 Patienten,1900-01-01,9999-12-31,GKV-SV
60402,Heilmittel,Physiotherapie,Krankenhaus, 125 Abs. 1 SGB V,"Bewegungstherapie / Übungsbehandl., GB",Übungsbehandlung im Bewegungsbad: Gruppenbehandlung mit 2 - 3 Patienten,1900-01-01,9999-12-31,GKV-SV
80402,Heilmittel,Physiotherapie,Leistungserbringer von ambulanten Vorsorgeleistungen in anerkannten Kurorten, 125 Abs. 1 SGB V,"Bewegungstherapie / Übungsbehandl., GB",Übungsbehandlung im Bewegungsbad: Gruppenbehandlung mit 2 - 3 Patienten,1900-01-01,9999-12-31,GKV-SV
10403,Heilmittel,Physiotherapie,"Masseur, Masseur und med. Bademeister",,"Bewegungstherapie / Übungsbehandl., GB",Bewegungsbad bis 5 Pers.,1900-01-01,9999-12-31,
20403,Heilmittel,Physiotherapie,Krankengymnast/ Physiotherapeut,,"Bewegungstherapie / Übungsbehandl., GB",Bewegungsbad bis 5 Pers.,1900-01-01,9999-12-31,
60403,Heilmittel,Physiotherapie,Krankenhaus,,"Bewegungstherapie / Übungsbehandl., GB",Bewegungsbad bis 5 Pers.,1900-01-01,9999-12-31,
80403,Heilmittel,Physiotherapie,Leistungserbringer von ambulanten Vorsorgeleistungen in anerkannten Kurorten,,"Bewegungstherapie / Übungsbehandl., GB",Bewegungsbad bis 5 Pers.,1900-01-01,9999-12-31,
10404,Heilmittel,Physiotherapie,"Masseur, Masseur und med. Bademeister",,"Bewegungstherapie / Übungsbehandl., GB",Bewegungsbad bis 7 Pers.,1900-01-01,9999-12-31,
20404,Heilmittel,Physiotherapie,Krankengymnast/ Physiotherapeut,,"Bewegungstherapie / Übungsbehandl., GB",Bewegungsbad bis 7 Pers.,1900-01-01,9999-12-31,
60404,Heilmittel,Physiotherapie,Krankenhaus,,"Bewegungstherapie / Übungsbehandl., GB",Bewegungsbad bis 7 Pers.,1900-01-01,9999-12-31,
80404,Heilmittel,Physiotherapie,Leistungserbringer von ambulanten Vorsorgeleistungen in anerkannten Kurorten,,"Bewegungstherapie / Übungsbehandl., GB",Bewegungsbad bis 7 Pers.,1900-01-01,9999-12-31,
10405,Heilmittel,Physiotherapie,"Masseur, Masseur und med. Bademeister", 125 Abs. 1 SGB V,"Bewegungstherapie / Übungsbehandl., GB",Übungsbehandlung im Bewegungsbad: Gruppenbehandlung mit 4 - 5 Patienten,1900-01-01,9999-12-31,GKV-SV
20405,Heilmittel,Physiotherapie,Krankengymnast/ Physiotherapeut, 125 Abs. 1 SGB V,"Bewegungstherapie / Übungsbehandl., GB",Übungsbehandlung im Bewegungsbad: Gruppenbehandlung mit 4 - 5 Patienten,1900-01-01,9999-12-31,GKV-SV
60405,Heilmittel,Physiotherapie,Krankenhaus, 125 Abs. 1 SGB V,"Bewegungstherapie / Übungsbehandl., GB",Übungsbehandlung im Bewegungsbad: Gruppenbehandlung mit 4 - 5 Patienten,1900-01-01,9999-12-31,GKV-SV
80405,Heilmittel,Physiotherapie,Leistungserbringer von ambulanten Vorsorgeleistungen in anerkannten Kurorten, 125 Abs. 1 SGB V,"Bewegungstherapie / Übungsbehandl., GB",Übungsbehandlung im Bewegungsbad: Gruppenbehandlung mit 4 - 5 Patienten,1900-01-01,9999-12-31,GKV-SV
